held_out_donor,train_donors,held_out_notta,held_out_tta,delta_tta,paste2_error,svd_ref_heldout,tta_beats_paste2,in_dist,tta_steps_used,seconds,status,timestamp,detail
Br5292,Br5595+Br8100,8.527,4.631,-3.896,5.28,9.6,True,3.147,360,1257.0,ok,2026-07-10T22:43:31Z,
Br5595,Br5292+Br8100,7.826,5.062,-2.764,4.35,9.6,False,3.17,360,1120.0,ok,2026-07-10T23:02:14Z,
Br8100,Br5292+Br5595,8.44,7.273,-1.167,3.46,9.6,False,3.423,360,1183.8,ok,2026-07-10T23:21:58Z,
