severity,reg_err_median,reg_err_mean,reg_err_p90,n
0.0,153.81628815037078,184.14875900409479,359.2686358436738,4182
1.0,155.0771322766706,183.39210375123716,351.5624811956555,4182
2.0,157.36477859204433,190.27964779255623,369.08729636113054,4182
3.0,160.52904704893626,198.9960081380713,388.87287332252583,4182
4.0,163.24237578836875,213.40128198775025,412.07748563948854,4182
6.0,172.67376944115068,278.31176010057203,517.3911433984179,4182
8.0,186.0683408190577,378.04353122262916,1133.4018851796811,4182
