severity,reg_err_median,reg_err_mean,reg_err_p90,n
0.0,118.071642316326,136.90317662971876,245.72138696075822,4182
1.0,117.94300809547909,137.05004546678217,242.80093371970392,4182
2.0,121.79665863836091,145.44621661329037,259.4231716424069,4182
3.0,123.19006466998417,154.61993961889308,273.54183124356047,4182
4.0,124.3475382790225,168.88080694218678,284.478353298745,4182
6.0,131.2773782138497,238.45497131543067,434.6258531891617,4182
8.0,144.1428263037215,348.30496595670616,1213.1372377974683,4182
