severity,reg_err_median,reg_err_mean,reg_err_p90,n
0.0,286.45265904474354,307.2260202889317,520.5146077905713,3363
1.0,287.1361395386988,307.5489471703259,516.7641296481672,3363
2.0,289.04783764082975,310.45154954691964,523.5857292301783,3363
3.0,294.09650347793473,318.7756899136928,539.2933218118759,3363
4.0,296.51625252015197,330.82359915841073,567.681783728789,3363
6.0,302.3027856660735,385.125833481984,659.1758041531724,3363
8.0,312.2185406134839,461.25904702717446,1050.0341415957992,3363
