severity,reg_err_median,reg_err_mean,reg_err_p90,n
0.0,92.97794932627416,109.13850456183714,196.24212482275414,4182
1.0,93.12477196512046,109.60443557207745,196.84526087140912,4182
2.0,93.64522858585977,114.3854930683193,206.63903012009953,4182
3.0,94.95887034787077,125.41947975307107,222.96810836025432,4182
4.0,95.98292597572421,141.23572030787025,235.50039065257297,4182
6.0,100.81944574098124,212.30039801288487,378.51733709521596,4182
8.0,106.8462752593691,323.5440370219448,1229.0260171915731,4182
