severity,max_disp_px,mean_disp_px,reg_err_mean,reg_err_median,reg_err_p90,reg_err_mean_argmax,reg_err_median_argmax,reg_err_p90_argmax,n_reg_scored,paste2_acc,random_floor,n_label_scored,runtime_s
8.0,1096.029196691402,725.261187490397,752.8040609781154,657.3734692620194,1422.5680199188432,804.1300590659381,719.0027816357875,1519.6739781940073,4158,0.6424170616113745,0.18663753269612066,4220,130.62238717079163
12.0,1644.043795037103,1087.8917812355953,772.2729851747116,687.0529484764018,1448.5950876695451,821.43069712598,729.3202314484358,1555.1280529811656,4159,0.633175355450237,0.18663753269612066,4220,145.43183493614197
16.0,2192.058393382804,1450.522374980794,800.5583955704319,700.3310350287366,1519.2094161719456,849.5148431659322,730.6579226970717,1623.3360711818118,4157,0.6277251184834123,0.18663753269612066,4220,178.980938911438
20.0,2740.0729917285053,1813.1529687259924,843.3475344174735,725.1171833103372,1617.4748666191447,890.5121426243217,766.8722117258958,1699.3346855379423,4158,0.614218009478673,0.18663753269612066,4220,133.64893412590027
22.0,3014.080290901356,1994.4682655985919,867.3339647794144,731.3309784222189,1659.5457877771485,920.2942916479388,768.6956484851465,1791.7725810520071,4159,0.6023696682464454,0.18663753269612066,4220,155.29914498329163
