severity,reg_err_median,reg_err_mean,reg_err_p90,n
0.0,221.07275754256213,241.39564113258774,417.39261157187593,4182
1.0,219.26357930255824,241.01015275503775,416.1809342688344,4182
2.0,222.15980261253344,243.8976259588605,428.9467300472183,4182
3.0,226.91324613891106,253.8491508579199,444.5537105168462,4182
4.0,228.49872427682237,265.6266148639603,468.2163534851801,4182
6.0,243.89819369462782,332.09433235604166,588.33955589812,4182
8.0,256.2199534715982,431.9202027531476,1184.3575698644238,4182
