severity,reg_err_median,reg_err_mean,reg_err_p90,n
0.0,124.72496466296015,139.7343258160983,250.14962371551633,4182
1.0,124.26333795754354,139.99305805404006,249.25676757789674,4182
2.0,125.15639467002782,145.15257175443693,260.8766627357657,4182
3.0,126.03000220467914,153.5262444774066,272.02142458680476,4182
4.0,127.22797356173686,167.67282508842885,286.2901334035158,4182
6.0,132.08397997890916,234.77917692926073,404.7932659124365,4182
8.0,142.95415375011055,339.15787166490884,1134.1491685016642,4182
