severity,reg_err_median,reg_err_mean,reg_err_p90,n
0.0,150.94491194460682,171.30691748233113,304.9460600549092,3363
1.0,150.49885491239692,169.94693516311042,297.8141989145715,3363
2.0,151.843352423864,175.45316725057745,309.2019635034369,3363
3.0,153.11852306311158,186.85338307413622,330.6756659397897,3363
4.0,155.51785177458876,201.90788467929306,348.86514592269725,3363
6.0,159.96876938498025,264.39199026832887,465.23357774268993,3363
8.0,170.02978450211597,345.4234825190699,989.0544744575109,3363
