dataset,kind,severity,seed,config,err_pitch,paste2_err,beats_paste2,n,pitch,seconds,status,timestamp,detail
Br8100,dlpfc,3.0,0,gated_rigid_thr3,2.9331,3.046,True,3502,137.0,,ok,2026-07-17T10:39:28Z,
Br8100,dlpfc,3.0,0,gated_rigid_thr6,3.5852,3.046,False,3502,137.0,,ok,2026-07-17T10:39:28Z,
Br8100,dlpfc,3.0,0,gated_rigid_thr8,4.1492,3.046,False,3502,137.0,,ok,2026-07-17T10:39:28Z,
Br8100,dlpfc,3.0,0,selfsup_clean,12.8675,3.046,False,3502,137.0,,ok,2026-07-17T10:39:28Z,
Br8100,dlpfc,3.0,0,selfsup_leak,1.5286,3.046,True,3502,137.0,,ok,2026-07-17T10:39:28Z,
Br8100,dlpfc,3.0,0,combo_gated_selfsup,7.0493,3.046,False,3502,137.0,,ok,2026-07-17T10:39:28Z,
Br8100,dlpfc,4.0,0,paste2,3.4261,3.4261,True,3502,137.0,,ok,2026-07-17T10:42:38Z,
Br8100,dlpfc,4.0,0,gated_rigid,3.2289,3.4261,True,3502,137.0,,ok,2026-07-17T10:42:38Z,
Br8100,dlpfc,4.0,0,gated_rigid_cv,3.2311,3.4261,True,3502,137.0,,ok,2026-07-17T10:42:38Z,
Br8100,dlpfc,4.0,0,gated_affine,2.5643,3.4261,True,3502,137.0,,ok,2026-07-17T10:42:38Z,
Br8100,dlpfc,4.0,0,gated_quad,2.8041,3.4261,True,3502,137.0,,ok,2026-07-17T10:42:38Z,
Br8100,dlpfc,4.0,0,gated_rigid_thr2,3.3148,3.4261,True,3502,137.0,,ok,2026-07-17T10:42:38Z,
Br8100,dlpfc,4.0,0,gated_rigid_thr3,3.185,3.4261,True,3502,137.0,,ok,2026-07-17T10:42:38Z,
Br8100,dlpfc,4.0,0,gated_rigid_thr6,3.9866,3.4261,False,3502,137.0,,ok,2026-07-17T10:42:38Z,
Br8100,dlpfc,4.0,0,gated_rigid_thr8,5.1191,3.4261,False,3502,137.0,,ok,2026-07-17T10:42:38Z,
Br8100,dlpfc,4.0,0,selfsup_clean,12.8647,3.4261,False,3502,137.0,,ok,2026-07-17T10:42:38Z,
Br8100,dlpfc,4.0,0,selfsup_leak,1.5461,3.4261,True,3502,137.0,,ok,2026-07-17T10:42:38Z,
Br8100,dlpfc,4.0,0,combo_gated_selfsup,7.082,3.4261,False,3502,137.0,,ok,2026-07-17T10:42:38Z,
Br8100,dlpfc,6.0,0,paste2,3.6257,3.6257,True,3502,137.0,,ok,2026-07-17T10:44:38Z,
Br8100,dlpfc,6.0,0,gated_rigid,3.588,3.6257,True,3502,137.0,,ok,2026-07-17T10:44:38Z,
Br8100,dlpfc,6.0,0,gated_rigid_cv,3.5872,3.6257,True,3502,137.0,,ok,2026-07-17T10:44:38Z,
Br8100,dlpfc,6.0,0,gated_affine,3.2877,3.6257,True,3502,137.0,,ok,2026-07-17T10:44:38Z,
Br8100,dlpfc,6.0,0,gated_quad,3.3437,3.6257,True,3502,137.0,,ok,2026-07-17T10:44:38Z,
Br8100,dlpfc,6.0,0,gated_rigid_thr2,3.6071,3.6257,True,3502,137.0,,ok,2026-07-17T10:44:38Z,
