severity,reg_err_median,reg_err_mean,reg_err_p90,n
0.0,184.8079047410701,209.60670174293796,376.5206325003823,4182
1.0,184.32681447594356,209.8374670560467,376.6701729484615,4182
2.0,190.39936404046068,217.53341913985716,393.3685357372318,4182
3.0,191.54448153870788,227.35165860128782,422.9825462079151,4182
4.0,195.61979733089015,243.07854788087852,455.5944680304268,4182
6.0,209.8215325105685,310.37850188327076,658.4040560472122,4182
8.0,224.62292347243846,410.0193295904079,1201.0044489459028,4182
