severity,reg_err_median,reg_err_mean,reg_err_p90,n
0.0,135.433577080935,152.5953819095782,272.4020803207768,4182
1.0,133.73583991354423,151.30042873383348,268.96488571658733,4182
2.0,135.6823347266029,157.37005133841214,277.9144597095156,4182
3.0,138.38583480664283,166.07090947894545,293.8872415215314,4182
4.0,141.0372260505551,180.98299170626223,308.2665546999065,4182
6.0,149.01991640449762,251.36561630368448,420.67279716319683,4182
8.0,162.82371417208583,358.7105637561424,1248.6731360054118,4182
