experiment,method,chain_len,severity,seed,edge_band,gate,metric,value,runtime_s,n_edges,note
controlled,global_full,4,1,4,3,,mean_err,16.393924766715774,0.00017889999435283244,6,
controlled,pairwise_chain,8,1,0,1,,terminal_err,60.04415253335758,6.200003554113209e-06,7,
controlled,global_adj,8,1,0,1,,terminal_err,60.04415253330681,0.00023070001043379307,7,
controlled,global_band,8,1,0,3,,terminal_err,50.6525026578404,0.0005092000064905733,18,
controlled,global_full,8,1,0,7,,terminal_err,27.393977176260247,0.001856600007158704,28,
controlled,pairwise_chain,8,1,0,1,,mean_err,49.95661770350625,6.200003554113209e-06,7,
controlled,global_band,8,1,0,3,,mean_err,42.9766270378477,0.0005092000064905733,18,
controlled,global_full,8,1,0,7,,mean_err,28.71184575229186,0.001856600007158704,28,
controlled,pairwise_chain,8,1,1,1,,terminal_err,75.99836559954542,7.299997378140688e-06,7,
controlled,global_adj,8,1,1,1,,terminal_err,75.99836559956873,0.0002480000111972913,7,
controlled,global_band,8,1,1,3,,terminal_err,24.275530116064697,0.000671899993903935,18,
controlled,global_full,8,1,1,7,,terminal_err,20.488228667379037,0.0008436000061919913,28,
controlled,pairwise_chain,8,1,1,1,,mean_err,58.52421125968548,7.299997378140688e-06,7,
controlled,global_band,8,1,1,3,,mean_err,54.91818031278734,0.000671899993903935,18,
controlled,global_full,8,1,1,7,,mean_err,54.67183268174762,0.0008436000061919913,28,
controlled,pairwise_chain,8,1,2,1,,terminal_err,78.36550784415287,6.299989763647318e-06,7,
controlled,global_adj,8,1,2,1,,terminal_err,78.36550784413761,0.00022869999520480633,7,
controlled,global_band,8,1,2,3,,terminal_err,57.77546027090028,0.0005574999959208071,18,
controlled,global_full,8,1,2,7,,terminal_err,42.38915857202355,0.0006896999984746799,28,
controlled,pairwise_chain,8,1,2,1,,mean_err,76.36105355935592,6.299989763647318e-06,7,
controlled,global_band,8,1,2,3,,mean_err,49.860339006330854,0.0005574999959208071,18,
controlled,global_full,8,1,2,7,,mean_err,40.64429909676812,0.0006896999984746799,28,
controlled,pairwise_chain,8,1,3,1,,terminal_err,93.74279662983112,6.900008884258568e-06,7,
controlled,global_adj,8,1,3,1,,terminal_err,93.7427966298412,0.000262100002146326,7,
controlled,global_band,8,1,3,3,,terminal_err,41.624098200850476,0.0007553999894298613,18,
controlled,global_full,8,1,3,7,,terminal_err,22.37805399244821,0.0011830000003101304,28,
controlled,pairwise_chain,8,1,3,1,,mean_err,60.5405547400116,6.900008884258568e-06,7,
controlled,global_band,8,1,3,3,,mean_err,31.011086987451332,0.0007553999894298613,18,
controlled,global_full,8,1,3,7,,mean_err,26.878283102344206,0.0011830000003101304,28,
controlled,pairwise_chain,8,1,4,1,,terminal_err,113.43935835109188,8.000002708286047e-06,7,
controlled,global_adj,8,1,4,1,,terminal_err,113.43935835108951,0.00024500000290572643,7,
controlled,global_band,8,1,4,3,,terminal_err,55.66950002590901,0.00048800000513438135,18,
controlled,global_full,8,1,4,7,,terminal_err,42.27323798827064,0.0007733999955235049,28,
controlled,pairwise_chain,8,1,4,1,,mean_err,63.421042725543415,8.000002708286047e-06,7,
controlled,global_band,8,1,4,3,,mean_err,34.49809368714318,0.00048800000513438135,18,
controlled,global_full,8,1,4,7,,mean_err,27.97996658684351,0.0007733999955235049,28,
controlled,pairwise_chain,12,1,0,1,,terminal_err,53.95536875802854,7.499998901039362e-06,11,
controlled,global_adj,12,1,0,1,,terminal_err,53.95536875801029,0.0003487000067252666,11,
controlled,global_band,12,1,0,3,,terminal_err,38.996580392740945,0.0007546999986516312,30,
controlled,global_full,12,1,0,11,,terminal_err,36.354622274941896,0.0018471999937901273,66,
controlled,pairwise_chain,12,1,0,1,,mean_err,46.29260673603317,7.499998901039362e-06,11,
controlled,global_band,12,1,0,3,,mean_err,45.18291500945537,0.0007546999986516312,30,
controlled,global_full,12,1,0,11,,mean_err,39.84341146077138,0.0018471999937901273,66,
controlled,pairwise_chain,12,1,1,1,,terminal_err,86.46199272045918,1.1199997970834374e-05,11,
controlled,global_adj,12,1,1,1,,terminal_err,86.4619927204651,0.00035599998955149204,11,
controlled,global_band,12,1,1,3,,terminal_err,40.18423488129933,0.000774300002376549,30,
controlled,global_full,12,1,1,11,,terminal_err,40.767929563572295,0.0015545999922323972,66,
controlled,pairwise_chain,12,1,1,1,,mean_err,82.52665199193736,1.1199997970834374e-05,11,
controlled,global_band,12,1,1,3,,mean_err,38.01109200430246,0.000774300002376549,30,
controlled,global_full,12,1,1,11,,mean_err,30.952656932694897,0.0015545999922323972,66,
controlled,pairwise_chain,12,1,2,1,,terminal_err,148.94019933825592,6.599992047995329e-06,11,
controlled,global_adj,12,1,2,1,,terminal_err,148.94019933826573,0.0003313999914098531,11,
controlled,global_band,12,1,2,3,,terminal_err,29.282613117482274,0.0007603999983984977,30,
controlled,global_full,12,1,2,11,,terminal_err,11.271242258382653,0.0015903000021353364,66,
controlled,pairwise_chain,12,1,2,1,,mean_err,106.7237124459735,6.599992047995329e-06,11,
controlled,global_band,12,1,2,3,,mean_err,49.5366574868875,0.0007603999983984977,30,
controlled,global_full,12,1,2,11,,mean_err,40.502154976818744,0.0015903000021353364,66,
controlled,pairwise_chain,12,1,3,1,,terminal_err,45.59580196009239,1.069999416358769e-05,11,
controlled,global_adj,12,1,3,1,,terminal_err,45.59580196012148,0.0004287000047042966,11,
controlled,global_band,12,1,3,3,,terminal_err,39.036663956606105,0.0008347999973921105,30,
controlled,global_full,12,1,3,11,,terminal_err,40.57671105663988,0.001698499996564351,66,
controlled,pairwise_chain,12,1,3,1,,mean_err,56.353455592687205,1.069999416358769e-05,11,
controlled,global_band,12,1,3,3,,mean_err,28.126696249780647,0.0008347999973921105,30,
controlled,global_full,12,1,3,11,,mean_err,32.25264169395475,0.001698499996564351,66,
controlled,pairwise_chain,12,1,4,1,,terminal_err,79.06264150771648,7.199996616691351e-06,11,
controlled,global_adj,12,1,4,1,,terminal_err,79.06264150773438,0.0003687999997055158,11,
controlled,global_band,12,1,4,3,,terminal_err,75.04438830506906,0.0009247999987564981,30,
controlled,global_full,12,1,4,11,,terminal_err,38.492575196674274,0.0018561999895609915,66,
controlled,pairwise_chain,12,1,4,1,,mean_err,62.21302480605726,7.199996616691351e-06,11,
controlled,global_band,12,1,4,3,,mean_err,48.85984788742065,0.0009247999987564981,30,
controlled,global_full,12,1,4,11,,mean_err,38.17820833510231,0.0018561999895609915,66,
controlled,pairwise_chain,2,3,0,1,,terminal_err,66.07285153800812,3.7999998312443495e-06,1,
