dataset,tissue,kind,mode,severity,method,seed,median_error,median_error_pitch,mean_error,p90_error,pitch_px,n_scored,runtime_s
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,3.0,sutura,0,2601.61,18.989,2572.02,4205.36,137.0,3502,0.1
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,4.0,sutura,0,2599.62,18.975,2576.49,4193.92,137.0,3502,0.1
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,6.0,sutura,0,2596.52,18.952,2584.04,4201.77,137.0,3502,0.1
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,8.0,sutura,0,2600.77,18.983,2593.74,4202.01,137.0,3502,0.1
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,0.0,sutura,1,2599.19,18.972,2569.93,4180.19,137.0,3502,0.1
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,1.0,sutura,1,2599.91,18.977,2571.74,4183.79,137.0,3502,0.1
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,2.0,sutura,1,2600.35,18.98,2568.04,4184.45,137.0,3502,0.1
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,3.0,sutura,1,2594.57,18.938,2567.06,4183.85,137.0,3502,0.1
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,4.0,sutura,1,2597.41,18.959,2567.34,4191.6,137.0,3502,0.09
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,6.0,sutura,1,2593.3,18.929,2570.72,4205.47,137.0,3502,0.1
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,8.0,sutura,1,2593.41,18.93,2568.71,4202.69,137.0,3502,0.11
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,0.0,sutura,2,2592.54,18.923,2571.23,4204.57,137.0,3502,0.1
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,1.0,sutura,2,2591.84,18.918,2570.81,4199.85,137.0,3502,0.11
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,2.0,sutura,2,2591.78,18.918,2571.27,4196.12,137.0,3502,0.11
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,3.0,sutura,2,2584.15,18.862,2569.24,4189.46,137.0,3502,0.1
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,4.0,sutura,2,2582.03,18.846,2570.61,4196.38,137.0,3502,0.1
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,6.0,sutura,2,2609.35,19.046,2592.26,4198.96,137.0,3502,0.1
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,8.0,sutura,2,2675.61,19.529,2617.06,4207.84,137.0,3502,0.1
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,0.0,paste2,0,406.91,2.97,473.3,922.08,137.0,3482,208.03
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,4.0,paste2,0,464.98,3.394,540.21,1080.08,137.0,3476,200.07
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,8.0,paste2,0,551.01,4.022,687.72,1402.5,137.0,3475,142.26
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,0.0,sutura,0,2029.57,14.814,2140.96,3496.99,137.0,2951,0.07
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,1.0,sutura,0,2031.16,14.826,2140.66,3501.57,137.0,2951,0.07
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,2.0,sutura,0,2033.48,14.843,2141.33,3501.02,137.0,2951,0.07
