severity,reg_err_median,reg_err_mean,reg_err_p90,n
0,1370.8749037061443,1414.7615918067331,2369.7367809887946,4182
1,1367.0055985483473,1415.8298444669397,2368.7394395893853,4182
2,1380.2411588005689,1433.3259395557286,2379.9351916584337,4182
3,1398.0156362761297,1457.3131217934495,2398.971189072048,4182
4,1428.8897985338547,1487.5061124049319,2432.9957848870176,4182
6,1506.299554293784,1565.2055194777442,2514.926415477081,4182
8,1607.2197130889779,1663.2691472553865,2644.774981363198,4182
