donor,condition,mode,severity,method,seed,median_error,median_error_pitch,mean_error,p90_error,pitch_px,n_scored
Br5292,in-distribution,cross,0.0,harmony,0,132.12,0.964,160.78,305.45,137.0,4182
Br5292,in-distribution,cross,1.0,harmony,0,131.58,0.96,160.27,307.97,137.0,4182
Br5292,in-distribution,cross,2.0,harmony,0,131.62,0.961,166.6,321.15,137.0,4182
Br5292,in-distribution,cross,3.0,harmony,0,135.45,0.989,176.05,342.59,137.0,4182
Br5292,in-distribution,cross,4.0,harmony,0,137.19,1.001,189.48,364.25,137.0,4182
Br5292,in-distribution,cross,6.0,harmony,0,145.99,1.066,257.66,543.32,137.0,4182
Br5292,in-distribution,cross,8.0,harmony,0,161.01,1.175,359.91,1119.91,137.0,4182
Br5292,in-distribution,cross,0.0,harmony,1,132.42,0.967,158.11,302.22,137.0,4182
Br5292,in-distribution,cross,1.0,harmony,1,131.86,0.962,157.84,303.91,137.0,4182
Br5292,in-distribution,cross,2.0,harmony,1,134.17,0.979,164.13,314.99,137.0,4182
Br5292,in-distribution,cross,3.0,harmony,1,135.53,0.989,168.34,321.68,137.0,4182
Br5292,in-distribution,cross,4.0,harmony,1,136.83,0.999,171.79,328.78,137.0,4182
Br5292,in-distribution,cross,6.0,harmony,1,138.33,1.01,172.59,321.46,137.0,4182
Br5292,in-distribution,cross,8.0,harmony,1,140.39,1.025,176.43,322.85,137.0,4182
Br5292,in-distribution,cross,0.0,harmony,2,130.76,0.954,158.9,302.37,137.0,4182
Br5292,in-distribution,cross,1.0,harmony,2,129.72,0.947,158.44,302.14,137.0,4182
Br5292,in-distribution,cross,2.0,harmony,2,131.12,0.957,164.15,313.32,137.0,4182
Br5292,in-distribution,cross,3.0,harmony,2,133.1,0.971,169.66,325.29,137.0,4182
Br5292,in-distribution,cross,4.0,harmony,2,135.48,0.989,187.34,357.97,137.0,4182
Br5292,in-distribution,cross,6.0,harmony,2,141.57,1.033,239.66,460.04,137.0,4182
Br5292,in-distribution,cross,8.0,harmony,2,149.55,1.092,332.34,915.7,137.0,4182
Br5595,in-distribution,cross,0.0,harmony,0,100.09,0.731,117.64,215.85,137.0,3363
Br5595,in-distribution,cross,1.0,harmony,0,99.05,0.723,116.8,212.74,137.0,3363
Br5595,in-distribution,cross,2.0,harmony,0,100.54,0.734,123.42,229.25,137.0,3363
Br5595,in-distribution,cross,3.0,harmony,0,101.13,0.738,135.22,241.85,137.0,3363
Br5595,in-distribution,cross,4.0,harmony,0,102.46,0.748,151.31,268.95,137.0,3363
Br5595,in-distribution,cross,6.0,harmony,0,106.59,0.778,217.68,436.27,137.0,3363
Br5595,in-distribution,cross,8.0,harmony,0,117.24,0.856,301.64,876.32,137.0,3363
Br5595,in-distribution,cross,0.0,harmony,1,99.38,0.725,118.36,216.51,137.0,3363
Br5595,in-distribution,cross,1.0,harmony,1,99.94,0.729,118.56,215.71,137.0,3363
Br5595,in-distribution,cross,2.0,harmony,1,101.2,0.739,124.78,227.9,137.0,3363
Br5595,in-distribution,cross,3.0,harmony,1,101.77,0.743,127.89,231.25,137.0,3363
Br5595,in-distribution,cross,4.0,harmony,1,102.65,0.749,129.84,232.4,137.0,3363
Br5595,in-distribution,cross,6.0,harmony,1,105.0,0.766,131.97,234.89,137.0,3363
Br5595,in-distribution,cross,8.0,harmony,1,106.81,0.78,137.36,250.65,137.0,3363
Br5595,in-distribution,cross,0.0,harmony,2,99.32,0.725,117.24,215.72,137.0,3363
Br5595,in-distribution,cross,1.0,harmony,2,99.11,0.723,117.55,218.72,137.0,3363
Br5595,in-distribution,cross,2.0,harmony,2,99.68,0.728,122.33,228.72,137.0,3363
Br5595,in-distribution,cross,3.0,harmony,2,101.04,0.737,132.26,240.83,137.0,3363
Br5595,in-distribution,cross,4.0,harmony,2,102.73,0.75,147.01,262.16,137.0,3363
Br5595,in-distribution,cross,6.0,harmony,2,105.01,0.766,200.14,351.21,137.0,3363
Br5595,in-distribution,cross,8.0,harmony,2,112.2,0.819,280.69,608.48,137.0,3363
Br8100,held-out,cross,0.0,harmony,0,1253.08,9.146,1424.97,2632.44,137.0,3502
Br8100,held-out,cross,1.0,harmony,0,1252.79,9.144,1425.18,2627.95,137.0,3502
Br8100,held-out,cross,2.0,harmony,0,1238.92,9.043,1416.78,2625.84,137.0,3502
Br8100,held-out,cross,3.0,harmony,0,1236.94,9.029,1414.0,2624.75,137.0,3502
Br8100,held-out,cross,4.0,harmony,0,1260.45,9.2,1422.73,2621.85,137.0,3502
Br8100,held-out,cross,6.0,harmony,0,1346.28,9.827,1476.31,2641.87,137.0,3502
Br8100,held-out,cross,8.0,harmony,0,1471.82,10.743,1582.38,2797.53,137.0,3502
Br8100,held-out,cross,0.0,harmony,1,1250.48,9.127,1424.05,2620.15,137.0,3502
Br8100,held-out,cross,1.0,harmony,1,1253.65,9.15,1424.61,2612.95,137.0,3502
Br8100,held-out,cross,2.0,harmony,1,1260.64,9.201,1425.24,2613.11,137.0,3502
Br8100,held-out,cross,3.0,harmony,1,1259.79,9.195,1426.21,2612.27,137.0,3502
Br8100,held-out,cross,4.0,harmony,1,1267.51,9.252,1427.54,2609.02,137.0,3502
Br8100,held-out,cross,6.0,harmony,1,1266.98,9.248,1427.54,2609.71,137.0,3502
Br8100,held-out,cross,8.0,harmony,1,1263.66,9.224,1425.69,2610.88,137.0,3502
Br8100,held-out,cross,0.0,harmony,2,1247.83,9.108,1423.35,2629.19,137.0,3502
Br8100,held-out,cross,1.0,harmony,2,1250.12,9.125,1425.06,2622.21,137.0,3502
Br8100,held-out,cross,2.0,harmony,2,1249.13,9.118,1423.99,2622.34,137.0,3502
Br8100,held-out,cross,3.0,harmony,2,1250.67,9.129,1425.16,2636.1,137.0,3502
Br8100,held-out,cross,4.0,harmony,2,1253.86,9.152,1432.34,2637.93,137.0,3502
Br8100,held-out,cross,6.0,harmony,2,1315.08,9.599,1459.87,2652.64,137.0,3502
Br8100,held-out,cross,8.0,harmony,2,1382.53,10.091,1505.99,2658.74,137.0,3502
Br5292,in-distribution,cross,0.0,scanorama,0,185.37,1.353,211.77,381.34,137.0,4182
Br5292,in-distribution,cross,1.0,scanorama,0,186.03,1.358,211.95,384.17,137.0,4182
Br5292,in-distribution,cross,2.0,scanorama,0,188.27,1.374,217.74,400.31,137.0,4182
Br5292,in-distribution,cross,3.0,scanorama,0,192.29,1.404,229.67,426.69,137.0,4182
Br5292,in-distribution,cross,4.0,scanorama,0,194.52,1.42,242.99,445.74,137.0,4182
Br5292,in-distribution,cross,6.0,scanorama,0,207.35,1.513,316.14,620.92,137.0,4182
Br5292,in-distribution,cross,8.0,scanorama,0,227.28,1.659,425.08,1278.66,137.0,4182
Br5292,in-distribution,cross,0.0,scanorama,1,183.18,1.337,208.76,379.13,137.0,4182
Br5292,in-distribution,cross,1.0,scanorama,1,183.07,1.336,209.41,381.2,137.0,4182
Br5292,in-distribution,cross,2.0,scanorama,1,185.45,1.354,216.17,398.48,137.0,4182
Br5292,in-distribution,cross,3.0,scanorama,1,186.28,1.36,219.89,404.43,137.0,4182
Br5292,in-distribution,cross,4.0,scanorama,1,186.11,1.358,222.57,411.57,137.0,4182
Br5292,in-distribution,cross,6.0,scanorama,1,187.61,1.369,224.48,409.45,137.0,4182
Br5292,in-distribution,cross,8.0,scanorama,1,186.44,1.361,226.18,410.18,137.0,4182
Br5292,in-distribution,cross,0.0,scanorama,2,183.21,1.337,210.93,379.49,137.0,4182
Br5292,in-distribution,cross,1.0,scanorama,2,182.9,1.335,210.89,378.6,137.0,4182
Br5292,in-distribution,cross,2.0,scanorama,2,186.14,1.359,217.42,393.54,137.0,4182
Br5292,in-distribution,cross,3.0,scanorama,2,186.35,1.36,224.72,407.52,137.0,4182
Br5292,in-distribution,cross,4.0,scanorama,2,190.76,1.392,241.13,440.07,137.0,4182
Br5292,in-distribution,cross,6.0,scanorama,2,195.48,1.427,299.7,538.52,137.0,4182
Br5292,in-distribution,cross,8.0,scanorama,2,202.19,1.476,407.47,1037.14,137.0,4182
Br5595,in-distribution,cross,0.0,scanorama,0,152.86,1.116,180.74,335.28,137.0,3363
Br5595,in-distribution,cross,1.0,scanorama,0,154.9,1.131,180.98,336.21,137.0,3363
Br5595,in-distribution,cross,2.0,scanorama,0,157.3,1.148,189.4,352.32,137.0,3363
Br5595,in-distribution,cross,3.0,scanorama,0,158.57,1.157,198.42,373.49,137.0,3363
Br5595,in-distribution,cross,4.0,scanorama,0,164.09,1.198,218.11,414.11,137.0,3363
Br5595,in-distribution,cross,6.0,scanorama,0,175.97,1.284,288.42,578.74,137.0,3363
Br5595,in-distribution,cross,8.0,scanorama,0,197.05,1.438,394.54,1068.62,137.0,3363
Br5595,in-distribution,cross,0.0,scanorama,1,152.87,1.116,179.53,332.73,137.0,3363
Br5595,in-distribution,cross,1.0,scanorama,1,152.58,1.114,179.41,327.95,137.0,3363
Br5595,in-distribution,cross,2.0,scanorama,1,155.03,1.132,186.46,341.37,137.0,3363
Br5595,in-distribution,cross,3.0,scanorama,1,153.05,1.117,189.48,347.21,137.0,3363
Br5595,in-distribution,cross,4.0,scanorama,1,154.49,1.128,192.1,345.65,137.0,3363
Br5595,in-distribution,cross,6.0,scanorama,1,154.29,1.126,193.99,350.88,137.0,3363
Br5595,in-distribution,cross,8.0,scanorama,1,162.64,1.187,204.11,376.0,137.0,3363
Br5595,in-distribution,cross,0.0,scanorama,2,148.51,1.084,176.11,326.25,137.0,3363
Br5595,in-distribution,cross,1.0,scanorama,2,150.87,1.101,177.47,329.5,137.0,3363
Br5595,in-distribution,cross,2.0,scanorama,2,154.62,1.129,185.59,350.36,137.0,3363
Br5595,in-distribution,cross,3.0,scanorama,2,157.96,1.153,194.57,358.27,137.0,3363
Br5595,in-distribution,cross,4.0,scanorama,2,160.0,1.168,211.13,384.58,137.0,3363
Br5595,in-distribution,cross,6.0,scanorama,2,169.48,1.237,268.71,481.48,137.0,3363
Br5595,in-distribution,cross,8.0,scanorama,2,178.47,1.303,351.58,791.9,137.0,3363
Br8100,held-out,cross,0.0,scanorama,0,1502.09,10.964,1646.43,2982.76,137.0,3502
Br8100,held-out,cross,1.0,scanorama,0,1507.11,11.001,1648.2,2998.05,137.0,3502
Br8100,held-out,cross,2.0,scanorama,0,1507.8,11.006,1648.49,2987.25,137.0,3502
Br8100,held-out,cross,3.0,scanorama,0,1513.3,11.046,1651.65,3005.34,137.0,3502
Br8100,held-out,cross,4.0,scanorama,0,1520.54,11.099,1658.35,2989.64,137.0,3502
Br8100,held-out,cross,6.0,scanorama,0,1574.24,11.491,1705.2,3026.77,137.0,3502
Br8100,held-out,cross,8.0,scanorama,0,1652.31,12.06,1778.64,3117.92,137.0,3502
Br8100,held-out,cross,0.0,scanorama,1,1514.31,11.053,1654.15,3016.67,137.0,3502
Br8100,held-out,cross,1.0,scanorama,1,1516.42,11.068,1652.8,3009.16,137.0,3502
Br8100,held-out,cross,2.0,scanorama,1,1512.37,11.039,1652.3,2983.75,137.0,3502
Br8100,held-out,cross,3.0,scanorama,1,1516.58,11.07,1652.18,2967.59,137.0,3502
Br8100,held-out,cross,4.0,scanorama,1,1515.39,11.061,1653.26,2979.82,137.0,3502
Br8100,held-out,cross,6.0,scanorama,1,1517.12,11.074,1655.81,2979.26,137.0,3502
Br8100,held-out,cross,8.0,scanorama,1,1513.67,11.048,1656.56,2975.86,137.0,3502
Br8100,held-out,cross,0.0,scanorama,2,1499.01,10.941,1651.57,3006.75,137.0,3502
Br8100,held-out,cross,1.0,scanorama,2,1494.62,10.909,1651.68,3007.93,137.0,3502
Br8100,held-out,cross,2.0,scanorama,2,1492.74,10.896,1649.54,3007.49,137.0,3502
Br8100,held-out,cross,3.0,scanorama,2,1500.65,10.953,1653.88,3003.91,137.0,3502
Br8100,held-out,cross,4.0,scanorama,2,1514.96,11.058,1656.39,3008.04,137.0,3502
Br8100,held-out,cross,6.0,scanorama,2,1525.65,11.136,1678.14,3042.68,137.0,3502
Br8100,held-out,cross,8.0,scanorama,2,1597.88,11.663,1728.69,3044.74,137.0,3502
Br5292,in-distribution,cross,0.0,paste2,0,658.09,4.803,764.59,1451.42,137.0,4157
Br5292,in-distribution,cross,1.0,paste2,0,655.45,4.784,762.15,1441.93,137.0,4156
Br5292,in-distribution,cross,2.0,paste2,0,688.98,5.029,780.32,1475.86,137.0,4155
Br5292,in-distribution,cross,3.0,paste2,0,716.28,5.228,806.19,1536.37,137.0,4154
Br5292,in-distribution,cross,4.0,paste2,0,729.32,5.323,836.95,1597.56,137.0,4155
Br5292,in-distribution,cross,6.0,paste2,0,773.03,5.642,910.73,1756.27,137.0,4157
Br5292,in-distribution,cross,8.0,paste2,0,838.2,6.118,983.15,1932.43,137.0,4158
Br5595,in-distribution,cross,0.0,paste2,0,526.02,3.839,598.84,1123.99,137.0,3337
Br5595,in-distribution,cross,4.0,paste2,0,571.28,4.17,650.25,1218.98,137.0,3339
Br5595,in-distribution,cross,8.0,paste2,0,691.21,5.045,817.46,1579.75,137.0,3341
Br8100,held-out,cross,0.0,paste2,0,406.91,2.97,473.3,922.08,137.0,3482
Br8100,held-out,cross,4.0,paste2,0,464.98,3.394,540.21,1080.08,137.0,3476
Br8100,held-out,cross,8.0,paste2,0,551.01,4.022,687.72,1402.5,137.0,3475
