severity,max_disp_px,mean_disp_px,reg_err_mean,reg_err_median,reg_err_p90,n_reg_scored,paste2_acc,random_floor,n_label_scored,runtime_s
0.0,0.0,0.0,226.50678170870577,6.821210263296962e-13,639.2589143004208,250,0.672,0.16776,250,6.802773714065552
3.0,825.005454527423,549.4441509529629,256.3433021762137,138.00362314084367,716.3303660072676,250,0.664,0.16776,250,0.2977774143218994
8.0,2200.014545406462,1465.1844025412347,421.59125976648244,365.7608508301565,908.2540498907958,250,0.644,0.16776,250,0.31599998474121094
